Kanji;Kana;Romaji;Translation
気の毒;きのどく;ki no doku;pitiful, unfortunate
希望;きぼう;kibou;hope, wish
希望者;;kibousha;applicant, candidate
貴重;きちょう;kichou;precious, valuable
寄付;きふ;kifu;contribution, donation
機嫌;きげん;kigen;humor, temper, mood
期限;;kigen;time limit, deadline
企業;きぎょう;kigyou;enterprise, undertaking
基本;きほん;kihon;foundation, basis
生地;きじ;kiji;cloth, fabric
記事;きじ;kiji;article, news story
機械;きかい;kikai;machine, mechanism
期間;きかん;kikan;period, term
機関;きかん;kikan;engine, agency, organization
帰国;;kikoku;return to one’s country​
気候;きこう;kikou;climate
効く;きく;kiku;to be effective
決まり;きまり;kimari;rule, settlement
気味;きみ;kimi;sensation, feeling
金;きん;kin;gold
緊張;きんちょう;kinchou;tension, nervousness
近代;きんだい;kindai;present day
禁煙;きんえん;kin’en;no smoking
記念品;;kinenhin;souvenir, memento​
金額;きんがく;kingaku;amount of money
気になる;;ki ni naru;to bother one, to worry about
気にする;;ki ni suru;to mind, to care about
金庫;きんこ;kinko;safe, vault
筋肉;きんにく;kinniku;muscle
金銭;きんせん;kinsen;money, cash
禁止;きんし;kinshi;prohibition, ban
金属;きんぞく;kinzoku;metal
奇妙;きみょう;kimyou;strange, queer
記念;きねん;kinen;commemoration
機能;きのう;kinou;function
記入;きにゅう;kinyuu;entry, filling in forms
金融;きんゆう;kin’yuu;financing, money circulation
記憶;きおく;kioku;memory, recollection
気温;きおん;kion;atmospheric temperature
霧;きり;kiri;fog, mist
切れ;きれ;kire;piece, slide
切れる;きれる;kireru;to break, to snap
記録;きろく;kiroku;record, document
記者;きしゃ;kisha;reporter
岸;きし;kishi;bank, coast, shore
基礎;;kiso;foundation, basis​
期待;きたい;kitai;expectation, hope
帰宅;きたく;kitaku;returning home
際;さい;kiwa;edge, brink, verge
嫌う;きらう;kirau;to hate, to dislike
傷;きず;kizu;wound, injury, cut
